Languages	EFGIS							
								
Screen	PHRASE TABLE	SPACE	E	F	G	I	S	NOTES
VEHICLES	CFIRE_V		Fire Truck	Camion de pompiers	Feuerwehrwagen	???	Camión de bomberos	
VEHICLES	CHEARS		Hearse	Corbillard	Leichenwagen	???	Coche fúnebre	
VEHICLES	CKLIMO		Krusty's Limo	Limo de Krusty	Krustys Limousine	???	Limusina de Krusty	
VEHICLES	CLETU_V		Pickup Truck	Camion Pickup	Kleinlaster	???	Furgoneta	
VEHICLES	CLIMO		Limo	Limo	Limousine	???	Limusina	
VEHICLES	CMILK		Milk Truck	Camion de lait	Milchlaster	???	Camión de leche	
VEHICLES	CNERD		Nerd Car	Voiture de techy	Streberauto	???	Coche de empollón	
VEHICLES	CNONUP		Nonuplets Minivan	Minivan Nonuplés	Neunlings-Minivan	???	Camioneta de nonillizos	
VEHICLES	COFFIN		Coffin Car	Voiture cercueil	Sargwagen	???	Coche ataúd	
VEHICLES	COMIC_V		Kremlin	Kremlin	Kremlin	???	Kremlin	
VEHICLES	COMPACTA		Compact Car	Coupé	Kompaktwagen	???	Coche compacto	
VEHICLES	CPOLICE		Police Car	Voiture de police	Polizeiauto	???	Coche de policía	
VEHICLES	CSEDAN		Chase Sedan	Berline de poursuite	Verfolgungswagen	???	Sedán rápido	
VEHICLES	CVAN		Surveillance Van	Van de surveillance	Überwachungsauto	???	Furgoneta de vigilancia	
VEHICLES	DUNE_V		R/C Buggy	Buggy télécommandé	R/C-Buggy	???	Coche teledirigido 	
VEHICLES	ELECT_V		Electaurus	Electaurus	Electaurus	???	Electaurus	
VEHICLES	FAMIL_V		Family Sedan	Berline familiale	Familienkutsche	???	Sedán familiar	
VEHICLES	FISHTRUC		Fish Van	Van de pêche	Fischwagen	???	Furgoneta de pescado	
VEHICLES	FONE_V		Open Wheel Race Car	Voiture de course	Rennauto	???	Coche de carreras	
VEHICLES	FRINK_V		Hover Car	Aéroglisseur	Schwebe-Wagen	???	Coche aerodeslizador	
VEHICLES	GARBAGE		Garbage Truck	Camion poubelle	Müllwagen	???	Camión de la basura	
VEHICLES	GRAMP_V		WWII Vehicle	Jeep 2GM	WK2-Fahrzeug	???	Vehículo WWII	
VEHICLES	GRAMR_V		WWII Vehicle w/Rocket	Jeep/roquette 2GM	WK2-Fahrzeug mit Rakete	???	Vehículo WWII con cohete	
VEHICLES	HALLO		Hallo Hearse	Corbillard Halloween	Halloween-Leichenwagen	???	Coche fúnebre Halloween	
VEHICLES	HBIKE_V		Hover Bike	Aérocycle	Schwebe-Motorrad	???	Moto aerodeslizadora	
VEHICLES	HOMER_V		70's Sports Car	Voiture de sport années 70	70er-Jahre-Sportwagen	???	Deportivo de los 70	
VEHICLES	HONOR_V		Honor Roller	La fusée	Ehrenroller	???	Corredor de honor	
VEHICLES	HUSKA		Charred Husk	Charred Husk	Verkohlte Hülse	???	Cáscara carbonizada	
VEHICLES	HYPE_V		Planet Hype 50's Car	Voiture années 50	"50er-Jahre-Auto Marke ""Planet Hype"""	???	Coche de los 50 de Planeta Hiper	
VEHICLES	ICECREAM		Ice Cream Truck	Camion de glaces	Eiswagen	???	Camión de helados	
VEHICLES	ISTRUCK		Itchy and Scratchy Movie Truck	Camion cinéma Itchy et Scratchy	Itchy-und-Scratchy-Übertragungswagen	???	Camión de cine de Pica y Rasca	
VEHICLES	KNIGH_V		Knight Boat	Bateau de chevalier	Knight Boat	???	Barco de caballero	
VEHICLES	KRUST_V		Clown Car	Voiture de clown	Clown-Auto	???	Coche de payaso	
VEHICLES	LISA_V		Malibu Stacy Car	Voiture de Stacy	Malibu-Stacy-Auto	???	Coche de Stacy Malibú	
VEHICLES	MARGE_V		Canyonero	Canyonero	Canyonero	???	Cañonero	
VEHICLES	MINIVANA		Minivan	Minivan	Minivan	???	Furgoneta	
VEHICLES	MOE_V		Sedan	Berline	Wagen	???	Sedán	
VEHICLES	MONO_V		Monorail Car	Monorail	Einschienenbahn-Waggon	???	Coche monorraíl	
VEHICLES	MRPLO_V		Mr. Plow	M. Chasse -neige	Mr. Schneepflug	???	El señor quitanieves	
VEHICLES	NUCTRUCK		Nuclear Waste Truck	Camion de déchets nucléaires	Atommüll-Laster	???	Camión de residuos nucleares	
VEHICLES	OBLIT_V		Obliteratatron Big Wheel Truck	camion Monster Oblitératron	Truck der Vernichtung	???	Camión de ruedas grandes Arrasador	
VEHICLES	OTTO_V		School Bus	Bus scolaire	Schulbus	???	Autobús escolar	
VEHICLES	PICKUPA		Pickup	Pickup	Lieferwagen	???	Furgoneta	
VEHICLES	PIZZA		Pizza Van	Camion pizza	Pizza-Van	???	Furgoneta de pizzas	
VEHICLES	PLOWK_V		Plow King	Super Chasse-neige	Schneepflug	???	El rey de los quitanieves	
VEHICLES	ROCKE_V		Speed Rocket	Speed rocket	Speed Rocket	???	Cohete veloz	
VEHICLES	SCHOOLBU		Mini School Bus	Mini bus scolaire	Kleiner Schulbus	???	Mini autobús escolar	
VEHICLES	SCORP_V		Globex Super Villain Car	Voiture de Globex le super-méchant	Globex-Superschurken-Auto	???	El coche de Globex el súper villano	
VEHICLES	SEDANA		Sedan A	Berline A	Wagen A	???	Sedán A	
VEHICLES	SEDANB		Sedan B	Berline B	Wagen B	???	Sedán B	
VEHICLES	SHIP		Ghost Ship	Vaisseau fantôme	Geisterschiff	???	Barco fantasma	
VEHICLES	SKINN_V		Sedan	Berline	Wagen	???	Sedán	
VEHICLES	SMITH_V		Mr. Burns' Limo	Limo de Burns	Mr. Burns' Limousine	???	Limusina del señor Burns	
VEHICLES	SNAKE_V		Bandit	Bandit	Bandit	???	Bandido	
VEHICLES	SPORTSA		Sports Car A	Voiture de sport A	Sportwagen A	???	Coche deportivo A	
VEHICLES	SPORTSB		Sports Car B	Voiture de sport B	Sportwagen B	???	Coche deportivo B	
VEHICLES	SUVA		SUV	VUL	Geländewagen	???	Todo terreno de ciudad	
VEHICLES	TAXIA		Taxi	Taxi	Taxi	???	Taxi	
VEHICLES	VOTETRUC		"""Vote Quimby"" Truck"	"Camion ""Voter Quimby"""	Wählt Quimby-Laster	???	"Camión ""vote a Quimby"""	
VEHICLES	WAGONA		Station Wagon	Break	Kombiwagen	???	Ranchera	
VEHICLES	WIGGU_V		Police Car	Voiture de police	Polizeiauto	???	Coche de policía	
VEHICLES	WILLI_V		Tractor	Tracteur	Traktor	???	Tractor	
VEHICLES	WITCHCAR		Witch Broom	Balai de sorcière	Hexenbesen	???	Escoba de la bruja	
VEHICLES	ZOMBI_V		Zombie Car	Zombiemobile	Zombie-Wagen	???	Zombimóvil	
BOOTUP	SELECT_LANGUAGE		Select Language	Select Language	Select Language	???	Select Language	*** Do not translate these!  They should be the same text for all languages. ***
BOOTUP	ENGLISH		English	English	English	???	English	*** Do not translate these!  They should be the same text for all languages. ***
BOOTUP	FRENCH		Français	Français	Français	???	Français	*** Do not translate these!  They should be the same text for all languages. ***
BOOTUP	GERMAN		Deutsch	Deutsch	Deutsch	???	Deutsch	*** Do not translate these!  They should be the same text for all languages. ***
BOOTUP	ITALIAN		Italiano	Italiano	Italiano	???	Italiano	*** Do not translate these!  They should be the same text for all languages. ***
BOOTUP	SPANISH		Español	Español	Español	???	Español	*** Do not translate these!  They should be the same text for all languages. ***
BACKEND	LOADING		LOADING	CHARGEMENT	ES WIRD GELADEN	???	CARGANDO	
BACKEND	LOADING_0		LOADING	CHARGEMENT	ES WIRD GELADEN	???	CARGANDO	
BACKEND	LOADING_1		LOADING .	CHARGEMENT .	ES WIRD GELADEN .	???	CARGANDO .	
BACKEND	LOADING_2		LOADING . .	CHARGEMENT . .	ES WIRD GELADEN . .	???	CARGANDO . .	
BACKEND	LOADING_3		LOADING . . .	CHARGEMENT . . .	ES WIRD GELADEN . . .	???	CARGANDO . . .	
BACKEND	DEMO		- DEMO -	- DEMO -	- DEMO -	???	Demo	
BACKEND	LOADING_NEWSPAPER_1A		October 25	25 octobre	25. Oktober	???	25 de octubre	
BACKEND	LOADING_NEWSPAPER_1B		Local Man Ruins Hot Dog Eating Contest	Chaos au concours de Hot Dog 	Mann ruiniert Hot-Dog-Wettessen	???	Un habitante se carga el concurso de comer perritos calientes	
BACKEND	LOADING_NEWSPAPER_1C		Disqualified for Vomitting	Disqualifié pour avoir vomi	Disqualifikation wegen Erbrechen	???	Descalificado por vomitar	
BACKEND	LOADING_NEWSPAPER_1D		Study: 90% of Video Games Start With Easy Tutorial Level	Etude : 90% des jeux vidéos commencent par des apprentissages	Studie: 90% aller Videospiele starten mit einfachem Tutorial-Level	???	Estudio: el 90% de los videojuegos empiezan en el nivel de tutorial fácil	
BACKEND	LOADING_NEWSPAPER_2A		October 26	26 octobre	26. Oktober	???	26 de octubre	
BACKEND	LOADING_NEWSPAPER_2B		"Low Level Employee Harasses Millionaire, Hounds Released"	"Un col bleu harasse le millionnaire, les chiens passent à l'attaque"	Einfacher Angestellter belästigt Millionär - Hunde losgelassen	???	"Empleado de poca monta acosa a millonario, se suelta a los perros"	
BACKEND	LOADING_NEWSPAPER_2C		Bonestorm 2 Out Today - Record Truancy Rate Expected	Sortie de Bonestorm 2 - journée record pour l'absentéisme prévue	Bonestorm 2 seit heute im Laden - Schuleschwänzen erreicht Rekordmarke!	???	Bonestorm 2 sale hoy a la venta. Se espera un récord de absentismo escolar	
BACKEND	LOADING_NEWSPAPER_2D		*	*	*	???	*	
BACKEND	LOADING_NEWSPAPER_3A		October 27	27 octobre	27. Oktober	???	27 de octubre	
BACKEND	LOADING_NEWSPAPER_3B		Bart Simpson Disappears in Bright Light	Bart Simpson disparaît dans un grand rayon lumineux	Bart Simpson verschwindet in gleißendem Licht	???	Bart Simpson desaparece en una luz brillante	
BACKEND	LOADING_NEWSPAPER_3C		Family Pleads to Light: Give Back Our Boy	La famille s'adresse à la lumière : rendez-nous notre enfant	Familie fleht Licht an: Gib uns unseren Jungen zurück!	???	La familia le ruega a la luz: devuélvenos a nuestro chico	
BACKEND	LOADING_NEWSPAPER_3D		"""Look Who's Drunk"""	Regardez qui est saoul	"Sieh mal, wer da torkelt"	???	Mira quién está borracho	
BACKEND	LOADING_NEWSPAPER_4A		October 28	28 octobre	28. Oktober	???	28 de octubre	
BACKEND	LOADING_NEWSPAPER_4B		Mysterious Shape Found in Field	Marque étrange découverte dans un champ	Merkwürdige Figur in Feld gefunden	???	Se encuentra forma misteriosa en un campo	
BACKEND	LOADING_NEWSPAPER_4C		"Confused Yokel Scratches Head. Local Boy Found Safe - Mind Erased, Pants Soiled"	Paysan confus. Gamin retrouvé : amnésique et culotte mouillée	"Verwirrter Depp kratzt sich am Kopf. Junge aus Springfield unversehrt gefunden - Gedächtnis gelöscht, Hosen besudelt"	???	"Paleto confundido se rasca la cabeza. Chico del vecindario encontrado sano. Mente en blanco, pantalones sucios"	
BACKEND	LOADING_NEWSPAPER_4D		Artist Rendering	Vue d'artiste	Künstlerische Übertreibung	???	Interpretación artista	
BACKEND	LOADING_NEWSPAPER_5A		October 29	29 octobre	29. Oktober	???	29 de octubre	
BACKEND	LOADING_NEWSPAPER_5B		"Exciting New Cola Gains Popularity ""Cola is Great!"" Says Cola Institute"	"Le nouveau cola de plus en plus populaire ""Vive le cola"" annonce l'Institut du cola"	"Tolle neue Cola gewinnt an Popularität - Cola-Institut sagt: ""Cola ist großartig!"""	???	"La nueva cola excitante gana popularidad. ""La Cola es genial."" Afirma el instituto de Cola."	
BACKEND	LOADING_NEWSPAPER_5C		"Annoying Housewife Claims Cola ""Evil"""	"Une femme au foyer déclare ""Le cola, c'est mal"""	"Nervige Hausfrau bezeichnet Cola als ""böse"""	???	"Ama de casa enfadada sentencia que la Cola es ""mala"""	
BACKEND	LOADING_NEWSPAPER_5D		Photo Supplied by Husband	Photo fournie par le mari	Foto von Ehemann bereitgestellt	???	Foto facilitada por el marido	
BACKEND	LOADING_NEWSPAPER_6A		October 30	30 octobre	30. Oktober	???	30 de octubre	
BACKEND	LOADING_NEWSPAPER_6B		Krusty at Squidport today for Cola - bration	Krusty à Squidport pour une fête du cola	Krusty heute zur Feier von Cola am Hafen	???	Krusty hoy en el Puerto del Calamar para Cola-borar	
BACKEND	LOADING_NEWSPAPER_6C		Krusty vows to fight paternity suit	Krusty jure de se battre pour la paternité	Krusty will gegen Vaterschaftsklage angehen	???	Krusty promete luchar en el juicio por paternidad	
BACKEND	LOADING_NEWSPAPER_6D		*	*	*	???	*	
BACKEND	LOADING_NEWSPAPER_7A		October 31	31 octobre	31. Oktober	???	31 de octubre	
BACKEND	LOADING_NEWSPAPER_7B		Aliens invade Springfield! Evil Cola causes dead to rise from grave	Les aliens envahissent Springfield ! Le cola maléfique réveille les morts !	Außerirdische erobern Springfield! Böse Cola lässt Tote aus Gräbern steigen	???	¡Los alienígenas invaden Springfield! La Cola Mala hace que la muerte se levante de la tumba	
BACKEND	LOADING_NEWSPAPER_7C		Local Brain wholesaler reports surge in business	Le grossiste en cerveau annonce des résultats records	Örtlicher Gehirngroßhändler meldet Rekordumsätze	???	Mayorista de cerebros local anuncia el éxito de su negocio	
BACKEND	LOADING_NEWSPAPER_7D		*	*	*	???	*	
FRONTEND	PRESS_START		PRESS START	APPUYER SUR START	START DRÜCKEN	???	PULSA START	
FRONTEND	PRESS_START_GC		PRESS START	APPUYER SUR START	START DRÜCKEN	???	PULSA START	
FRONTEND	PRESS_START_PS2		Press START button	Appuyer sur START	START-Taste drücken	???	Pulsar botón START (inicio)	
FRONTEND	PRESS_START_XBOX		PRESS START	APPUYER SUR START	START DRÜCKEN	???	PULSA START	
FRONTEND	NEW_GAME		NEW GAME	NOUVEAU JEU	NEUES SPIEL	???	NUEVA PARTIDA	
FRONTEND	RESUME_GAME		RESUME GAME	CONTINUER	WEITERSPIELEN	???	CONTINUAR	
FRONTEND	LOAD_GAME		LOAD GAME	CHARGER	SPIEL LADEN	???	CARGAR	
FRONTEND	SCRAP_BOOK		SCRAP BOOK	JOURNAL	SAMMELALBUM	???	ARCHIVO	
FRONTEND	CARD_GALLERY		CARD GALLERY	GALERIE	KARTENGALERIE	???	COLECCIÓN DE CARTAS	
FRONTEND	OPTIONS		OPTIONS	OPTIONS	OPTIONEN	???	OPCIONES	
FRONTEND	MINI_GAME		BONUS GAME	JEU BONUS	BONUS-SPIEL	???	PARTIDA EXTRA	
FRONTEND	OPEN_BOOK		OPEN BOOK	OUVRIR LE LIVRE	BUCH ÖFFNEN	???	ABRIR LIBRO	
FRONTEND	GAME_STATS		GAME STATS	STATS DE JEU	SPIELSTATISTIK	???	ESTADÍSTICAS DEL JUEGO	
FRONTEND	GAME_COMPLETE		Game Complete	Partie terminée	Spiel abgeschlossen	???	Partida finalizada	
FRONTEND	MISSIONS		Missions	Missions	Missionen	???	Misiones	
FRONTEND	STORY_MISSIONS		Story Missions	Missions du scénario	Story-Missionen	???	Misiones principales	
FRONTEND	BONUS_MISSIONS		Bonus Missions	Missions bonus	Bonus-Missionen	???	Misiones extra	
FRONTEND	STREET_RACES		Street Races	Courses de rue	Straßenrennen	???	Carreras callejeras	
FRONTEND	CLOTHES		Clothes	Vêtements	Kleidung	???	Ropa	
FRONTEND	CHARACTER_CLOTHING		Character Clothing	Vêtements	Kleidung der Figuren	???	Ropa de personajes	
FRONTEND	VEHICLES		Vehicles	Véhicules	Fahrzeuge	???	Vehículos	
FRONTEND	CARDS		Cards	Cartes	Karten	???	Cartas	
FRONTEND	COLLECTIBLE_CARDS		Collector Cards	Cartes à collectionner	Sammelkarten	???	Cartas	
FRONTEND	MOVIES		Movies	Films	Filme	???	Películas	
FRONTEND	WASPS		Wasp Cameras	Guêpes	Wespen-Kameras	???	Cámaras avispa	
FRONTEND	GAGS		Gags	Gags	Gags	???	Gags	
FRONTEND	GAME_COMPLETION		Game Completion	Fin de partie	Spielabschluss	???	Finalización de la partida 	
FRONTEND	RUNNING_TOTALS		Running Totals	Total actuel	Ergebnisse	???	Totales en curso	
FRONTEND	MULTIPLAYER		Multiplayer	Multijoueur	Multiplayer	???	Multijugador	
FRONTEND	MULTIPLAYER_SETUP		Multiplayer Setup	Configuration multijoueur	Multiplayer-Einstellungen	???	Configuración multijugador	
FRONTEND	NUMBER_OF_FLAGS		Number of Flags	Nombre de drapeaux	Zahl der Flaggen	???	Número de banderas	
FRONTEND	BASE		Base	Base	Basis	???	Base	
FRONTEND	CHARACTER_SELECT		Change Character	Choix du personnage	Figur wechseln	???	Cambiar personaje	
FRONTEND	UNUSED_STRING_001		*	*	*	???	*	
FRONTEND	UNUSED_STRING_002		*	*	*	???	*	
FRONTEND	CONTROLLER		CONTROLLER	MANETTE	CONTROLLER	???	CONTROLADOR	
FRONTEND	SOUND		SOUND	SON	SOUND	???	SONIDO	
FRONTEND	VIEW_MOVIES		VIEW MOVIES	VOIR LES FILMS	FILME ANSEHEN	???	VER PELÍCULAS	
FRONTEND	VIEW_CREDITS		VIEW CREDITS	VOIR LES CREDITS	MITWIRKENDE	???	VER CRÉDITOS	
FRONTEND	DISPLAY_(OPTIONS)		DISPLAY	AFFICHAGE	ANZEIGE	???	VISTA	
FRONTEND	DISPLAY_MODE		Display Mode	Mode d'affichage	Anzeige-Modus	???	Modo de pantalla	
FRONTEND	RESOLUTION		Resolution	Résolution	Auflösung	???	Resolución	
FRONTEND	COLOUR DEPTH		Colour Depth	Profondeur des couleurs	Farbtiefe	???	Profundidad de pantalla	
FRONTEND	16_BIT		16-bit	16 bits	16 Bit	???	16 bits	
FRONTEND	32_BIT		32-bit	32 bits	32 Bit	???	32 bits	
FRONTEND	WINDOW		Window	Fenêtre	Fenster	???	Ventana	
FRONTEND	FULL_SCREEN		Full Screen	Plein écran	Vollbild	???	Pantalla completa	
FRONTEND	INTERLACED		Interlaced	Entrelacé	Interlaced	???	Intercalado	
FRONTEND	PROGRESSIVE		Progressive	Progressif	Progressive	???	Progresivo	
FRONTEND	CONFIGURATION		Configuration:	Configuration :	Konfiguration:	???	Configuración:	
FRONTEND	NOT_USED		(NOT USED)	(INUTILISE)	(NICHT VERWENDET)	???	(NO UTILIZADO)	
FRONTEND	L3_BUTTON		(L3 button)	(Touche L3)	(L3-Taste)	???	(Botón L3)	
FRONTEND	R3_BUTTON		(R3 button)	(Touche R3)	(R3-Taste)	???	(Botón R3)	
FRONTEND	TURN_LEFT_RIGHT		TURN LEFT / RIGHT	GAUCHE / DROITE	LINKS / RECHTS LENKEN	???	GIRAR A LA IZQUIERDA / DERECHA	
FRONTEND	ACCELERATE		ACCELERATE	ACCELERER	BESCHLEUNIGEN	???	ACELERAR	
